,title,description
7329,Loco Love,A young man and woman fall in love but are threatened to be torn apart by the tensions between their Latino and Caucasian communities in Arizona
7330,Logan's Run,In the 23rd century inhabitants of a domed city exist in a world filled with lifes pleasures  but no one is allowed to live past the age of 30
7331,LoliRock,A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where shes a lost princess
7332,Lolita,In this black comedy an English professor marries his landlady to get closer to his forbidden obsession her teenage daughter
7333,London Spy,When his reclusivebanker lover disappears a hardpartying young British hedonist plunges into the dangerous world of espionage to find the truth
7334,Long Time Running,This documentary follows the 2016 tour of beloved rock band The Tragically Hip as they make their way across Canada one last time
7335,"Look Out, Officer",An officer killed on the job returns to Earth as a ghost to solve his own murder and seek justice with the help of a rookie cop and some funky magic
7336,Look Who's Back,When Adolf Hitler reawakens at the site of his former bunker 70 years later hes mistaken for a brilliant comedian and becomes a media phenomenon
7337,Lorai: Play to Live,Under a government initiative a retired alcoholic soccer player is sent to establish a soccer team in a politically troubled area
7338,Los 10 años de Peter Capusotto,Fictional personality Peter Capusotto parodies Argentine culture and rock music in a series of humorous sketches with recurring characters
7339,Los Niños Héroes de Chapultepec,This documentary pays tribute to the young cadets who gave their lives to defend Mexico against US forces during the battle of Chapultepec Castle
7340,Los tiempos de Pablo Escobar,Featuring neverbeforeseen images personal testimonies and more this is the story of one of the most notorious drug smugglers of all time
7341,Losing Sight of Shore,This documentary recounts the feats of the Coxless Crew a team of four women who rowed from San Francisco to Australia in support of two charities
7342,Lost Girl,Discovering shes a succubus who sustains herself by feeding on the sexual energy of humans seductive Bo sets out on a journey to understand herself
7343,Love Cuisine,A successful Taiwanese chef moves home from Europe to teach at a cooking school He soon clashes with a pretty teacher he met under odd circumstances
7344,Love Dot Com: The Social Experiment,Sparks fly and romance blooms when Shelby a vegan chef meets Greg a developer  until their opposing views clash
7345,Love In A Puff,When the Hong Kong government enacts a ban on smoking cigarettes indoors the new law drives hardcore smokers outside facilitating a meeting between Cherie a makeup saleswoman and Jimmy an advertising exec
7346,Love Ni Bhavai,Not romantically inclined a popular radio personality finds herself caught between two diametrically opposed suitors
7347,Love on Delivery,To prove himself to a love interest a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight
7348,Love Rain,A story of two couples journey of new love loss and unexpected reunion spans decades from the 1970s through present day
7349,Love Rhythms - Accidental Daddy,A successful DJs bachelor lifestyle is upended by a young woman who claims to be his long lost daughter
7350,Love Shot,A charming hitman questions his profession after learning his next target is the karaoke singer hes falling in love with
7351,Love Station,Single coworkers at a radio station are brought together by mutual friends but their starryeyed notions about love may scuttle their romance
7352,Love You... Love You Not,A love triangle gets complicated when a female English tutor unknowingly gets between a hottempered guy and his offtotheUnited States girlfriend
7353,Love Your Garden,Famed horticulturist Alan Titchmarsh hosts this uplifting show in which he and his team travel the UK planting dream gardens for deserving citizens
7354,"Love, Rosie",Over the years as they come and go in each others life childhood pals Rosie and Alex struggle to resolve the lasting intimate bond between them
7355,LoveTrue,In this blend of documentary and dramatization circumstances test notions of love held by a young stripper a singledad surfer and a teen musician
7356,Loving Annabelle,An esteemed young poetry teacher at a Catholic boarding school risks everything when she engages in a feverish affair with a female student
7357,Loving You,Struggling in a loveless marriage a harddrinking workaholic cop finds a chance at redemption after a fateful incident leaves him wounded
7358,Lucha: Playing the Impossible,Known simply as Lucha field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world
7359,Lucky Days,When laidback Ren who is about to divorce his moneycrazy wife finds a timetraveling computer he decides to use it to reboot his marriage
7360,Lucky: No Time for Love,During an uprising in Russias St Petersburg teen girl Lucky meets handsome Aditya the Indian ambassadors son and together they flee the chaos
7361,Lupt,Haunted by disturbing visions a workaholic takes a vacation with his family but a detour leads them to an unsettling stranger and chilling events
7362,Lusers,Three men from different nations must find their way out of the Amazon jungle  on foot  when they get lost on the way to Brazils World Cup Final
7363,Ma Chu Ka,The relationship between a journalist and a lawyer she meets while investigating a story grows complicated as she uncovers layers of deception
7364,Maacher Jhol,On his first visit to his home city of Kolkata in 13 years a Parisbased chef is faced with a cooking challenge that will change his life forever
7365,Mac & Devin Go to High School,Devin Overstreet may be the class valedictorian but he hasnt had much life experience Enter Mac Johnson a 10thyear senior and weed dealer
7366,Macchli Jal Ki Rani Hai,After relocating to a different town with her husband a housewife begins to sense the existence of a mysterious presence in their new house
7367,Mad Max,In a postapocalyptic future a malicious gang murders Maxs family as an act of retaliation forcing Max to hit the open road seeking vengeance
7368,Mad Men,Set in 1960s New York City this awardwinning series takes a peek inside an ad agency during an era when the cutthroat business had a glamorous lure
7369,Mad Money,A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two coworkers to pilfer old money thats scheduled to be destroyed
7370,Mad Ron's Prevues from Hell,This collection cherrypicks trailers forgotten scenes and poster art from 47 gory oldies including Bay of Blood and The Blood Spattered Bride
7371,Mad World,A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat where old resentments bubble to the surface
